Statement,Disease
পেটটা এমনভাবে ফুলছে যে গায়ের চামড়া পাতলা হইয়া গ্যাছে।,Dropsy
"মাছের গায়ে এমনভাবে দাগগুলা পড়ছে, যেন একটা সাদা মাকড়সার জাল। এই জালেই মাছটা আটকা পইড়া গেছে।",White Spot Disease
মাছের কানকুয়ার পাশে সাদা দাগ জইমা আছে। শ্বাস নিতে কষ্ট হয় বইলাই হয়তো মাছগুলা সারাক্ষণ হাঁ কইরা থাকে।,White Spot Disease
মাসর ফেডর ভিতর ফানি বইল্যে মনে অর।,Dropsy
এই রোগটা কি শুধু ঘেরের মাছেই হয়? নদীর মাছে কি এই রোগ দেখা যায় না?,Red Spot Disease
এইবার আর লাভের মুখ দেখুম না। মাছের কানকোর এই রোগ আমার সব আশা শেষ কইরা দিছে।,Myxoboliasis
"মাছগুলার চামড়া কেমন জানি উঠে গেইছে, মাছটাও দেখতেছি অস্থির।",Argulosis
মাছগুলা এমনভাবে ছটফট করে যে মনে হয় কেউ গরম তেলের মইধ্যে ছাইড়া দিছে। এই দৃশ্য দেইখা খুব কষ্ট লাগে।,Streptococcosis
"মাছের কপালে যদি এই ঘা লেখা থাকে, তাইলে দুনিয়ার কোনো ওষুধেই কাজ হয় না।",Epizootic Ulcerative Syndrome
"ঘাস কার্প মাছটার সারা গায়ে ফুসকুড়ির মতো লাল গুটি। মাছটা ঘাসও খায় না, খালি কিনারায় আইসা ভাসে।",Red Spot Disease
"আমার মাগুর মাছগুলার চোখ দুইটা সাদা হইয়া গেছে, আর শরীরটা কেমন জানি নরম হইয়া গেছে। এই মাছ আর কোনোদিন শক্ত হইব না।",Streptococcosis
"এই রোগে মাছের গায়ের পিচ্ছিল ভাবটা কইমা যায়, শরীরটা খসখসা হইয়া যায়। আর রঙটাও কালা হইয়া যায়।",Streptococcosis
"মাছের পিঠের পাখনাটা একদম পইচা শরীর বরাবর মিশে গেছে, কিছুই আর বাকি নাই।",Fin and Tail Rot
এই রোগে মাছের গায়ের রঙটা এমনভাবে কালা হয় যে দেইখা মনে হয় মাছটারে আলকাতরার ড্রামে চুবানো হইছে। এই মাছ কেউ কিনব না।,Streptococcosis
জাল থেকে মাছ ছাড়াইতে গিয়া দেখি গায়ে ফোসকা ফোসকা। কয়টা ফাটার ভিতর লালচে পানি।,Argulosis
এই রোগের কারণে মাছের ফুলকাগুলা নষ্ট হইয়া যাইতেছে। মাছ পানির উপরে ভাইসা থাকে বেশিরভাগ সময়।,Myxoboliasis
"চোখ দুইডা বাইর হইয়া আইছে, ক্যাঠাটারে আর বাঁচানো যাইব না মনে হয়।",Dropsy
"হঠাৎ কইরা মাছগুলা খাওয়া-দাওয়া ছাইড়া দিছে। ভালো কইরা চাইয়া দেখি, সবগুলার পেটের নিচে রক্ত জমাট বাইন্ধা রইছে।",Hemorrhagic Septicemia
সরপুঁটি মাছের চোখ ফুইলা এমন হইছে যে ও আর চারের কাছেও আহে না। খাবার দিলেও খায় না।,Pop Eye
"এইবার পাখনা পচতেসে, আগামীবার না আবার পুরা শরীরেই পচন ধরে, সেই ভয়ে আছি।",Fin and Tail Rot
"মাছটা উপ্রে দিয়া দেখতে ভালো, কিন্তু পেট টিপ দিলে ভিতরটা কেমন শক্ত লাগে, মনে হয় ভিতরেই ঘা হইসে।",Epizootic Ulcerative Syndrome
"মাছটা আর ডুব দেয় না, কিনারে আইসে খালি মাথা ঠোকায়, কানশার অবস্থা খুব খারাপ।",Gill Rot
"এই মাছের বংশ আর রাখা যাবে না, যে পোনা হবে, তার গায়েও এই উকুন লাইগে যাবে।",Argulosis
"মাছের চোখের কাছেও দেখি এই গোল পোকা লাইগে আছে, মাছটা মনে হয় চোখেও আর দেখতেছে না।",Argulosis
"মাছের গায়ে ঘা হওয়ার পর ঐটার আর কোনো বৃদ্ধি নাই, যেই সাইজের ছিলো ঐরকমই পইড়া থাকে।",Epizootic Ulcerative Syndrome
"মাছটা এত ছটফট করতেছে যে নিজের শরীরেই নিজে বাড়ি খাইতেছে, কানশার জ্বালা আর সইতে পারতেছে না।",Gill Rot
এই রোগটা একবার আইলে আর মাছ চাষ কইরা শান্তি নাই। সব সময় ভয় লাগে কখন জানি সব শেষ হইয়া যায়।,Streptococcosis
"কালও মাছটা ভালো ছিল, আজ দেখি পেট ফুলে চোখ বেরিয়ে গেছে।",Dropsy
শিং মাছটার সারা গায়ে সাদা শ্যাওলার মতো জমছে। মাছটা কেমন জানি ঘোরের মইধ্যে পইড়া রইছে।,Saprolegniasis
এই লাল দাগগুলার জন্যেই মাছের জীবনীশক্তি নাই। একটুতেই কেমন জানি হইয়া যায়।,Red Spot Disease
এই রোগে মাছের পাখনাগুলা এত নরম হইয়া যায় যে বাতাসেও ছিঁড়া যায়।,Fin and Tail Rot
"পুকুরের সব মাছ খালি খাবি খাচ্চে, মনে হয় পানিতে বাতাস কম।",Gill Rot
মাছগুলার কানকোর পাশে ঘা হইয়া গেছে। ওই ঘা দিয়া পানি আর রক্ত বাইর হয়।,Myxoboliasis
"কী এক আজব রোগ আইলো, মাছের গায়ে লাল লাল সুতার মতো দাগ দেখা যায়। মাছগুলা সব পানির তলায় গিয়া বইসা থাকে, নড়েচড়ে না।",Hemorrhagic Septicemia
মাছ পানির উপর চাকা কইরা ঘুইরা বেড়ায়।,Argulosis
শিং মাছগুলার গায়ে যেন কেউ সুজি ছিটাই দিসে। এই দশায় অরা আর নড়াচড়া করতে চায় না।,White Spot Disease
"চোখ লাল হইছে, নিচে গুঁড়া জমে। মাছটা চুপ মেরে থাকে, না খায় না চলে।",White Spot Disease
মাছের গায়ে যেন কেউ ভেজা কাগজের মণ্ড লাগাই দিছে। মাছটা কেমন জানি ভারি হইয়া গেছে।,Saprolegniasis
"এই মাছগুলার দিকে তাকানো যায় না, কেমন জানি কঙ্কালের মতো লাগে। শরীর শুকাইয়া খালি কাঁটা সার হইছে।",Myxoboliasis
আমার মাছগুলার শরীরের আঁশের নিচে লালচে দাগ হইয়া গেছে। কয়েকটা মাছের মুখও লাল হইয়া আছে।,Red Spot Disease
"তেলাপিয়ার গায়ে উকুনের থাবা, মাছটা খাইতেছে না কয়দিন ধইরা।",Argulosis
মাছটা কোনো কারণ ছাড়াই পানির মইধ্যে লাফাইতে থাকে আর উল্টাপাল্টা সাঁতার কাটে। মাছটারে দেইখা পুরাপুরি অসুস্থ মনে হয়।,Streptococcosis
"বড় মাছগুলার ঘা তাও চোখে পড়ে, কিন্তু পোনা মাছের ঘা তো দেখাই যায় না, হঠাৎ কইরা মইরা ভাইসা উঠে।",Epizootic Ulcerative Syndrome
"রুই মাছগুলার পেটটা ফুলা, কিন্তু ভিতরে খালি পানি। কানকোর রোগের সাথে সাথে পেটেও পানি জমছে।",Myxoboliasis
"মাছগুলার শরীরটা কেমন জানি কাঁপে, বিশেষ কইরা যখন এক জায়গায় স্থির থাকে। মনে হয় খিঁচুনি হইতাছে।",Streptococcosis
"কানকোটা সরাইয়া দেখি ফুলকাগুলা আর লাল নাই, সব সাদা হইয়া গ্যাছে।",Gill Rot
ছোট লাল দাগটা পইচা এহন এমন গর্ত হইছে যে ভিতর থাইকা কাঁটা দেখা যায়। দেখলেই গা ঘিনঘিনায়।,Red Spot Disease
"খাবার দিলে ভালো মাছগুলা আগাইয়া আসে, কিন্তু ঘা-ওয়ালা গুলা খালি পিছনের দিকে ভাগে।",Epizootic Ulcerative Syndrome
শোল মাছটার সারা গায়ে রক্তের ছিটা। মাছটা আর শিকার করতে পারতেছে না।,Red Spot Disease
ডিমগুলার উপ্রে সাদা তুলার মতো ছত্রাক পইড়া সব ডিম নষ্ট হইয়া গেল। এইবার আর মাছের বংশ থাকব না।,Saprolegniasis
মাছের গায়ে যেন কেউ সাদা রঙের ধোঁয়া লাগাই দিছে। এই ধোঁয়াতেই মাছের জীবন শেষ।,Saprolegniasis
"মাছটার শরীরে এতগুলা ঘা যে কই হাত দিয়া ধরবো, সেইটাই ভাবার বিষয়, সব জায়গা নরম।",Epizootic Ulcerative Syndrome
"আমার পোলাপান আর ঘেরের কাছে আসে না, কানশার পচা গন্ধে বমি করে দেয়।",Gill Rot
গায়ের চামড়াটা এমন পাতলা হইয়া গেছে যে ভিতরের মাংস দেখা যায়। আর তার উপরেই সাদা সাদা দাগ।,White Spot Disease
পাবদা মাছের চোখ ফুইলা এমন হইছে যে আর সোজা যাইতে পারে না। খালি পানির তলে গিয়া উল্টাইয়া থাকে।,Pop Eye
আমার পাঙ্গাস মাছগুলার গায়ে রক্তের ছোপ ছোপ দাগ দেখা যাইতেছে। মাছগুলা ঝিমাইতে ঝিমাইতে একে একে মারা যাইতেছে।,Hemorrhagic Septicemia
"আর ভাল্লাগে না, ঘেরে নামলিই দেহি মাছের পেট ফুলি আছে।",Dropsy
"এই ঘেরের পানি এখন আমার চোখের পানির মতো লবণাক্ত, কানতে কানতে চোখও শুকাইয়ে গেছে।",Argulosis
এই রোগে মাছের পাখনাগুলা এমনভাবে যায় যে মনে হয় মাছটা কোনোদিনও সাঁতারই কাটতে পারতো না।,Fin and Tail Rot
মাছের গায়ে কি কোনো ভাইরাস লাগছে? এমনভাবে কাবু কইরা ফালাইছে যে মাছটা আর সোজা হইতে পারতেছে না।,Red Spot Disease
রুই মাছটার পেটটা কেমন জানি ফুইলা উঠছে আর সারা গায়ে লাল দাগ। মাছটা কিছুই মুখে নিতে চায় না।,Hemorrhagic Septicemia
এই রোগে মাছের শরীরটা এমনভাবে কালা হয় যে অন্য মাছের থাইকা আলাদা করা যায়। আর চোখ দুইটাও বাইর হইয়া আসে।,Streptococcosis
"আঁশগুলার ফাঁক দিয়া চামড়া দেখা যায়, কেমন লালচে হইয়া আছে।",Dropsy
"একটা মাছে হইছিলো, অহন দেহি পুরা পুকুরের মাছের গায়েই আগুন লাগছে। এই লাল আগুন তো আর নিভে না।",Red Spot Disease
"ফেট এন্দি ফুলি রইয়ে, মাস উগগা আর ফানির তলে যাইত ন পারে।",Dropsy
"খাবি খাইতে খাইতে মাছগুলার চোখ পর্যন্ত বাইর হইয়া আসতেসে, ফুলকাগুলার রঙও কালা।",Gill Rot
"ফুলকা দিয়া খালি ঘন লালার মতো বাইর হচ্চে, মাছটা নড়াচড়াই বন্ধ কইরে দিছে।",Gill Rot
"মাছগুলা ঠায় পড়ে থাকে, খালি ঘুমাইয়া থাকে। গায়ে সাদা সাদা দাগ জমে গেছে।",White Spot Disease
"কানশার ভিতরে সব মাংসপিণ্ড জট পাকাইয়ে আছে, মাছটা আর কোনো শব্দই করতেছে না।",Gill Rot
"মাছটা আর কাদার মইধ্যে যায় না, পেট ফুলার কারণে ঢুকতে পারে না।",Dropsy
"পাখনা পইচা যাওয়ার পর মাছটা দুর্বল হইয়া যায়, আর তখনই অন্য রোগে আইসা ধরে।",Fin and Tail Rot
"এই ক্ষতটা মাছের গায়ের উপ্রে দেখতে একটা ছোট গর্তের মত, কিন্তু ভিতরে অনেকখানি পইচা গেছে।",Epizootic Ulcerative Syndrome
এইটা কি কোনো গজব নাকি? ভালো পুকুরে হঠাৎ কইরা সব মাছের গায়ে এমন পচা ঘা দেখা দিতেসে।,Epizootic Ulcerative Syndrome
মাছটার গায়ের ঘা এত বাইড়ে গেছে যে এখন আর উকুন ছাড়াও অন্য পোকা ওই ঘায়ের উপর বসতেছে।,Argulosis
"পাবদা মাছের শরীরটা এমনিতেই নরম, এখন আরো থলথলে হইয়া গেছে। আর পেটের দুই পাশে লাল রেখা দেখা যাইতাছে।",Hemorrhagic Septicemia
শিং মাছগুলার শিং এর গোড়ায় সাদা শিমুল তুলার মতো কি জানি হইছে। এইর লাইগা মাছগুলা খালি মাথা নাড়ায়।,Saprolegniasis
"পুকুরের পাড়ে আইসা মাছগুলা চক্কর কাটে। দৃশ্যটা দেইখা মায়া লাগে, কানকোর ভিতরে সব গুটি বাইর হইছে।",Myxoboliasis
"মাছগুলা পানির উপরে আইসা খাড়া হইয়া যায়, যেন সলতে দিয়া কেউ খাড়া কইরা রাখছে। আবার কিছুক্ষণ পর বনবন কইরা ঘুরতে ঘুরতে তলাইয়া যায়।",Streptococcosis
এই পোকাগুলা মাছের এক শরীর থাইকে আরেক শরীরে খুব তাড়াতাড়ি ছড়াইয়ে যায়।,Argulosis
"মাছটার পেটটা নরম আর থলথলে, মনে হয় ভিতরে খালি জেলির মতো কি জানি भरी আছে।",Dropsy
"চোখ দুইডা ঘোলা হইয়া গ্যাছে, মাছটা মনে হয় আর চোখেও দেখে না।",Dropsy
মাছগুলার পায়খানার রাস্তাটা ফুলা আর টকটকা লাল হইয়া আছে। পেটের ভিতরেও মনে হয় ইনফেকশন হইছে।,Streptococcosis
এই রোগটা এতই খারাপ যে মাছের বংশ পর্যন্ত শেষ কইরা দেয়। ডিম পাড়ার আগেই মাছ মইরা যায়।,Myxoboliasis
"একটা ধইরে দেখলাম, ফুলকার চিকন আঁশগুলা আর আলাদা নাই, সব জুইমে এক হইয়ে গেছে।",Gill Rot
"মাছটা দম ছাইড়া দিছে বারবার, গায়ে পিচ্ছিল ভাব। নাড়াইলেই বোঝা যায় কিছু একটা চুষতেছে গা।",Argulosis
মাছের চোখটা ফুইলা এমন হইছে যে মনে হয় চোখের ভিতরে মাকড়সা বাসা বানাইছে। দেখলেই গা ঘিনঘিন করে।,Pop Eye
আমার রুই মাছগুলার কানকোর ভিতরে গুটি গুটি কি জানি হইসে। মাছগুলা তাই খুব দুর্বল হইয়া গেছে।,Myxoboliasis
মাছগুলার ফুলকা খুললে মনে হয় ভিতরে ছোট ছোট ভাতের দানা আটকাইয়া রইছে। এইগুলাই মাছের শ্বাস বন্ধ কইরা মারতাছে।,Myxoboliasis
"চোখ দুইডা ঘোলা, আর পেটটা অস্বাভাবিক মোটা, এই মাছের আর কোনো আশা নাই।",Dropsy
"লেজটা কেমন শক্ত হইয়া গেছে, নাড়াইতে পারে না। লেজের গোড়ায় সাদা সাদা বিচি উঠছে।",White Spot Disease
আমার গোল্ডফিশটার দুইটা চোখই ফুইলা বড় হইয়া গেছে। মনে হইতেছে যেন চোখ দুইটা কোটর থাইকা পইড়া যাইব।,Pop Eye
"কানশার ভিতরটা এখন আর পচাও মনে হচ্চে না, দেইখে মনে হয় কেউ পুড়াইয়ে দিছে।",Gill Rot
মাছের ক্ষতের উপরে তুলার মতো সাদা একটা আস্তরণ পড়ছে। দেইখা মনে হয় শ্যাওলা জমসে।,Saprolegniasis
কানশার চারপাশটা লাল হইয়া গেছে আর মাছটা কেমন জানি কাঁপতেছে।,Gill Rot
"এই রোগের কি কোনো ওষুধ নাই? যা-ই দিতাছি, কোনো ফায়দা তো হইতাছে না, উল্টা বাড়তেছে।",Red Spot Disease
মাছগুলার চোখ দুইটা এমনভাবে ফুইলা উঠে যে কপালের দুইটা রগও দেখা যায়। দেইখা মনে হয় এখনই ফাইটা যাইব।,Streptococcosis
"মরা মাছটা তুইলে দেখি, উকুনগুলা তখনো নড়তেছে, একজন মইলে আরেকজনের খাবার হচ্চে।",Argulosis
এই রোগে মাছের মরণটা খুব দ্রুত হয়। সকালের ভালো মাছ বিকালে আইসা দেখি মইরা রইছে।,Streptococcosis
"যে মাছগুলার গায়ে ঘা হইসে, ঐগুলার চোখগুলাও কেমন জানি ঘোলা আর ভিতর দিকে ডাইবা গেছে।",Epizootic Ulcerative Syndrome
পোনা মাছগুলার পেটটা কেমন শক্ত হইয়া গেছে। আর সারা গায়ে তো সাদা দাগ আছেই।,White Spot Disease
মাছের গায়ে কি কোনো জিন-ভূতের আছর লাগছে? এমনভাবে মরতেছে যে কিছুই করার নাই।,White Spot Disease
মাছটার গায়ের উকুন গুনতে গুনতে আমি এখন পাগল হইয়ে যাওয়ার পথে।,Argulosis
পানির উপ্রে সাদা সাদা সরের মতো জমছে। মাছের গা থাইকা খইসা পড়তেছে মনে হয়।,White Spot Disease
"আমার সব মাছের লেজগুলা কেমন জানি পাতলা হইয়া যাইতেছে, দেইখা মনে হয় গইলা যাইবো।",Fin and Tail Rot
"মাছের ঝাঁকটা কেমন জানি হইয়া গেছে, সবগুলা কিনারে আইসা ঝিমায় আর শ্বাস নেয়।",Gill Rot
"আমার ফলি মাছগুলার পেটটা ফুলা, আর চোখ দুইটা কেমন জানি ভিতরের দিকে ঢুইকা গেছে। এইটাও এই রোগের একটা অদ্ভুত লক্ষণ।",Streptococcosis
এই রোগটা এত খারাপ যে মাছের মাংস পর্যন্ত নষ্ট কইরা দেয়। রান্না করলে কেমন জানি একটা গন্ধ আসে।,Myxoboliasis
আমার মাছগুলার আঁশ সব খাড়া খাড়া হইয়া গেছে আর পেটটা বেলুনের মত ফুইলা আছে। মাছটা পানির উপরে উল্টাইয়া ভাইসা থাকতেসে।,Dropsy
মাছের গায়ে যেন কেউ সাদা রঙের মেঘ লাগাই দিছে। এই মেঘেই মাছের আকাশ ভাইঙা পড়ে।,Saprolegniasis
এই মাছ কাইটা রান্না করার উপায় নাই। কাইটলেই দেখা যায় মাংসের ভিতরেও ছোট ছোট সাদা দানা।,Myxoboliasis
মাছটা কেমন জানি লাফাইতেছে। মনে অয় গায়ের পোকার কামড়ে তিষ্ঠাইতে পারতেছে না।,White Spot Disease
এই লাল দাগগুলার জন্যেই মাছের ডিম নষ্ট হইয়া যাইতেছে। আর নতুন কইরা পোনাও হইতেছে না।,Red Spot Disease
"মাছগুলার গায়ের রঙটা কেমন জানি নীলচে হইয়া গেছে, আর চোখ দুইটা ফুইলা আছে। এই মাছ আর বাজারে নেওয়া যাইব না।",Streptococcosis
"চোখের চারদিকে চাকা চাকা দাগ, গায়ে লেপ্টা চ্যাপ্টা পোকা।",Argulosis
সারা গায়ে ধুলা লাগার মতো সাদা সাদা হইসে। মাছগুলার খাওয়া-দাওয়ায় একদম মন নাই।,White Spot Disease
"ফুলকাগুলার রঙ ফ্যাকাশে হইয়া গেছে, রক্তই নাই যেন। সব শক্তি ওই সাদা দানাগুলোয় চুইষা নিতাছে।",Myxoboliasis
"মহাজনের থাইকে আবার টাকা ধার চাইতে গেলাম, সে কইলো 'তোর উকুনওয়ালা মাছ দিয়া আমি কি করবো'?",Argulosis
এই রোগে মরার পর মাছের পেটটা ফাইটা ভিতর থাইকা সবুজ পানি বাইর হয়। এই পানিতেও রোগের জীবাণু থাকে।,Streptococcosis
"কৈ মাছের সারা গায়ে ফুস্কুরির মতো উইঠা লাল হইয়া গেছে। মাছগুলা আর আগের মতো লাফালাফি করে না, সাইজ হইয়া গেছে।",Hemorrhagic Septicemia
এই রোগটা গরমকালে বেশি দেখা যায়। পানি গরম হইলেই মাছগুলা পাগলের মতো ঘুরতে শুরু করে।,Streptococcosis
মাছগুলার কানকোর ভিতরে লাল আর সাদা মেশানো ঘা দেখা যায়। দেইখা মনে হয় কেউ গরম পানি ঢাইলা দিছে।,Myxoboliasis
"আমার পুরা খামারের মাছই শ্যাষ, সবগুলার পেট ফুলতেছে আর চোখ বাইর হইতেছে।",Dropsy
ক্ষতটা মাছের এমন জায়গায় হইসে যে ঐটা আর খাবার গিলতেই পারতেসে না।,Epizootic Ulcerative Syndrome
মাছের গায়ে যেন কেউ সাদা রঙের ভেলভেট লাগাই দিছে। দেখতে সুন্দর হইলেও এইটা একটা মরণ রোগ।,Saprolegniasis
এই মাছগুলারে দেখলে মনে হয় এরা কঙ্কালসার হইয়া গেছে। চামড়ার নিচে খালি হাড় আর কাঁটা।,Myxoboliasis
পাখনাগুলা সব ঝইরা গিয়া এহন খালি দুইটা কাঠি খাড়া হয়া আছে।,Fin and Tail Rot
"মাছের পেটের ভিতরে মনে হয় পানি জমছে, তাই এমন ফুইলা আছে। আর চামড়াটা এত পাতলা হইছে যে ভিতরের লাল দাগও দেখা যায়।",Hemorrhagic Septicemia
মাছের গায়ে যেন কেউ লাল সুতা দিয়া জাল বুইনা দিছে। মাছটা আর নড়াচড়াই করতে পারতেছে না।,Red Spot Disease
আমার কই মাছটার পেট ফুলছে আর আঁশগুলা কদম ফুলের মতো হইয়া আছে।,Dropsy
"মাছটা বারবার পানির উপরে আইসা মুখটা হা করে, মনে হয় বাতাস খোঁজে।",Gill Rot
"মাছের পেট ফুলা, গায়ে লালচে ছোপ।",Argulosis
শিং মাছের মুখে ঘা হওয়ার কারণে শুকাইয়া কাঠ হইয়া গেছে। কিছুই তো আর পেটে পড়ে না।,Hemorrhagic Septicemia
"এই রোগটা খালি মাছ মারে না, চাষীর মনের সাহসটাও মাইরা ফেলে, সব কেমন জানি অন্ধকার লাগে।",Epizootic Ulcerative Syndrome
"সাদা মাছটার গায়ে কয়টা পিচ্ছিল পোকা, মাছটা লাফায়া উঠতেছে।",Argulosis
"মাছটার লেজটা প্রথমে লাল হইলো, তারপর কালা হইয়া এহন ঝইরা পড়তেছে।",Fin and Tail Rot
"যে মাছগুলার পাখনা পইচা গেছে, সেগুলা আর খাবারের জন্যেও উপরে আসে না।",Fin and Tail Rot
এই রোগ হইলে মাছের আর নড়াচড়ার শক্তি থাকে না। এক জায়গায় স্থির হইয়া পইড়া থাকে।,Saprolegniasis
বোয়াল মাছটার পেটের চামড়া ফাইটা গিয়া লাল মাংস দেখা যায়। মাছটা খালি কাত হইয়া ভাইসা থাকে।,Red Spot Disease
আমার শিং মাছগুলার পেটটা একদিকে এমনভাবে ফুলছে যে মাছটা আর তলাইতে পারে না। খালি পানির উপরে কাইত হইয়া ভাসে।,Streptococcosis
"পুকুরে যে মাছগুলার লেজ পচা রোগ হইসে, সেগুলা অন্য মাছের থেইকা আলাদা হইয়া থাকে।",Fin and Tail Rot
আমার ফলি মাছটার গায়েও দেখি লাল লাল ফোঁটা। মাছটা কেমন জানি বাঁকা হইয়া সাঁতরাইতেছে।,Hemorrhagic Septicemia
"মাছটা খালি পানির উপ্রে ভাইসা উঠে আর ডোবে, গায়ে লাল চাকা চাকা দাগ। মনে হয় দম নিতে কষ্ট হয়।",Red Spot Disease
মাছের শ্বাস নেওয়ার কষ্ট দেইখে মনে হইতেছে ওর গলায় কেউ ফাঁস লাগাইয়ে দিছে।,Gill Rot
"খাবার দিলেও খাইতে আহে না, খালি মুখ ফিরাইয়া নেয়। মুখের কান্দায় রক্তের দাগ লাইগা আছে, খাইতে কষ্ট হয়।",Red Spot Disease
মাছটা কেমন জানি তড়পাইতেছে। মনে হয় গায়ের ব্যাথায় খুব কষ্ট পাইতেছে।,White Spot Disease
"মাছের গায়ে লাল দাগ দেইখা ভাবছিলাম ক্ষতের দাগ, কিন্তু অহন দেখি সব মাছেরই একই অবস্থা। এইটা তো মহামারী।",Hemorrhagic Septicemia
"গায়ে ফাটা দাগ, চামড়া উঠা, পাশে উকুন।",Argulosis
মাছটার পেটটা এমনভাবে ফুলছে যে পাখনাগুলা ডানা মেলারও জায়গা পাইতেছে না।,Dropsy
"এই রোগে মাছ খুব কষ্ট পাইয়া মরে, দেইখাও খারাপ লাগে।",Gill Rot
মাছগুলার শরীরটা এমনভাবে মোচড়াইতে থাকে যে দেখলে মনে হয় কেউ ধইরা মোচড় দিতাছে। এইটাও এই রোগেরই একটা লক্ষণ।,Streptococcosis
"আমার মনে হয়, এইটা এক প্রকারের ছত্রাক রোগ, কারণ পাখনাগুলার উপর সাদা সাদা শ্যাওলার মত জমে।",Fin and Tail Rot
মাছগুলার গায়ের রঙ জায়গায় জায়গায় কালা হইয়া গেছে। এইটাও ওই কানকোর রোগেরই লক্ষণ।,Myxoboliasis
এইবার আর মাছ চাষের নামও মুখে আনুম না। এই এক রোগেই আমার সব শখ পূরণ হইয়া গেছে।,Myxoboliasis
মাছটা ঘায়ের কারণে এত আস্তে চলে যে শামুকও মনে হয় এর থেইকা জোরে চলে।,Epizootic Ulcerative Syndrome
"খাবার দিলে মাছগুলা ভয়ে পালাইয়া যায়, খাইতে আসে না। ভালো কইরা দেখি, পেটের নিচে রক্ত জমছে।",Hemorrhagic Septicemia
"কি এক মড়ক লাগলো, মাছগুলা কেমন দিশাহারার মতো ঘুরতে ঘুরতে পানির উপরেই মইরা ভাইসা ওঠে। ঝাঁকের মাছ সব শেষ।",Hemorrhagic Septicemia
আইড় মাছের চোখ ফুইলা এমন হইছে যে ওর গোঁফগুলাও কেমন জানি ঝুইলা পড়ছে। মাছটা পুরাই কাহিল।,Pop Eye
এই রোগটা হইলে মাছগুলা কেমন জানি দিশাহারা হইয়া যায়। খালি পানির উপ্রে ঘুরতে থাকে আর মরে।,Hemorrhagic Septicemia
ক্ষত জায়গাটা পইচা চামড়া খইসা পড়তাছে। আর তার উপ্রে ধুসর রঙের ছত্রাক।,Saprolegniasis
মাছের চোখটা ফুইলা এমন হইছে যে মনে হয় চোখের উপর একটা বুদবুদ জমছে। দেখতেও কেমন জানি লাগে।,Pop Eye
মাছের চোখটা এমনভাবে বাইর হইয়া আইছে যে মনে হয় একটা পোকা কামড়াইয়া ধরছে। মাছটার খুব কষ্ট হইতাছে।,Pop Eye
"মাছ ঘাটলেই বোঝা যায়, চামড়া ঢিলা ঢিলা হইয়া গেছে।",Argulosis
"শিং মাছের চোখ ফুইলা এমন হইছে যে কাঁটার মতোই খাড়া হইয়া আছে। মাছটা আর নড়াচড়া করে না, মড়ার মতো পইড়া থাকে।",Pop Eye
"একটু কম দাগ থাকা মাছগুলা আলাদা কইরা কম দামে বেইচা দেওয়ার চেষ্টা করতেসি, কিন্তু মানুষ ধইরা ফেলতেসে।",Epizootic Ulcerative Syndrome
কালবাউশ মাছের কালো শরীরটাও ফ্যাকাশে হইয়া গেছে। আর পেটের দিকটা অস্বাভাবিক লাল।,Hemorrhagic Septicemia
আমার রঙিন মাছগুলার সবগুলার চোখ আস্তে আস্তে ফুলতাছে। এই অ্যাকুরিয়ামটাই মনে হয় অভিশপ্ত হইয়া গেছে।,Pop Eye
সিলভার কার্প মাছগুলার লেজের গোড়া পইচা লাল হইয়া গেছে। মাছগুলা আস্তে আস্তে দুর্বল হইয়া মারা যাইতেছে।,Hemorrhagic Septicemia
"এই লেজ-খসা মাছগুলা অন্য মাছের লগে মেশে না, খালি একলা একলা ঘোরে।",Fin and Tail Rot
"যে মহাজন আমার কাছ থেইকা মাছ নিতো, সে অহন ঘায়ের কথা শুইনা আর আসেই না।",Epizootic Ulcerative Syndrome
ঝাঁক থাইকা আলাদা হইয়া এক কোণায় পইড়া থাকে। গায়ে মুক্তার মতো চকচকা দানা।,White Spot Disease
"আজকা জুম্মাবার রাইতে টর্চ মাইরে দেখি, সব মাছ কিনারায়। কানকোগুলান কেমন জানি অস্বাভাবিক সাদা।",Gill Rot
"এইবার মনে হয় মাছ চাষই ছাইড়া দিতে হইবো, প্রতি বছর এই ক্ষত রোগে আমার সব শেষ হইয়া যায়।",Epizootic Ulcerative Syndrome
"মাসগুলা ফানির উপরে উইঠা এমন করে, যেন দম ফাটি যার।",Gill Rot
"মাছগুলা কেমন জানি স্মৃতি হারাইয়া ফেলছে, খাবার দিলেও চিনতে পারে না। খালি উদাস হইয়া ভাইসা থাকে।",Streptococcosis
ফুলকাগুলার উপরে এমন একটা আস্তরণ পড়ছে যে পানি দিয়া ধুইলেও সেটা উঠতেছে না।,Gill Rot
কানশার মাংসপিণ্ডগুলা কেমন জানি ধূসর হইয়া খসে খসে পড়তেছে।,Gill Rot
"মাছের শরীরের সব রক্ত এই উকুনগুলা খাইছে, আর আমার শরীরের সব শক্তি এই চিন্তায় খাইছে।",Argulosis
"পেটটা ফুলি মাছটার শ্বাস নিতে খুব কষ্ট, মুখটা সারাক্ষণ হা কইরা রাখে।",Dropsy
"আমার ঘেরের সব মাছ কেমন জানি পাগল হইয়ে গেছে, সারাদিন খালি লাফালাফি আর ঝাপাঝাপি করে।",Argulosis
