comments,labels
মায়ের হাসি প্রাকেজের কল রেট সম্পর্কে জানতে চাচ্ছি,Promotional
আমি ১৫৯ টাকায় ২৫ জিবি অফার টা নিছি। এটার মেয়াদ বৃদ্ধি করবো কিভাবে???,Internet Package Issue
এলাকায় পরিপূর্ণ নেটওয়ার্ক পায় না অনেক সমস্যা?,Network Issue
প্রিপেইড সিম পোস্টপেইডে মাইগ্রেশনের নিয়ম কি,Availability
"আমার এলাকার নেটটা ঠিক করে দেন,,",Network Issue
"একটি সিম কিনেছিলাম, কিন্তু চালাতে পারছিনা,তাই দয়াকরে আমাদের দিকে একটু দৃষ্টি দিন,,,",Promotional
আপনাদের সিম কিন্তে এতো সমস্যা কেন??Nid Number দেওয়ার পরে পিঙ্গার কাজ করে না,Promotional
শুধুমাত্র এই সমস্যার জন্য ২৮৩ টাকার অ্যাপ অনলি ডাটা কিনে পূর্বের ডাটা ক্যারি ফরওয়ার্ড করতে পারলাম না। ১৫ জিবি হারালাম।,Internet Package Issue
কালকা আমার 15 জিবি চলে গেছে,Internet Package Issue
নেটওয়ার্ক নাই চলাইতে পরছি না,Network Issue
"নের্টওয়াক ঠিক করেন,2G নেট ও পাইনা",Network Issue
"নাই নেট স্পিড, পাই না নেটওয়ার্ক ঠিক মত। কেউ ১০ বার ফোন দিলে যদি ১বার ভাগ্য বশত লাইন পায়। (ঢাকা এরিয়া)",Network Issue
"কারেন্ট থাকলে নেটওয়ার্ক থাকে, কারেন্ট গেলে নেটওয়ার্ক যায়। আগে লোডশেডিং কম ছিলো মানিয়ে নেওয়া যেত এখন অনেক কষ্টে কয়েক বছর টেলিটকের সাথে আছি বাট নেটওয়ার্ক ব্যাবস্থা উন্নতি না করলে আর থাকা সম্ভব হবে না। আর … See more",Network Issue
121 কল দিলে বলে আমার কথা শুনতে পারছে না।। এইটা আবার কেমন সমস্যা। 4টা মোবাইল 4টা অপারেটর থেকে ফোন দিলাম একই কথা বলে। কাস্টমার কেয়ারের কথা তো আমি শুনতে পাচ্ছি। আমার কথা কেন শুনতে পাচ্ছে না।,Promotional
"কারেন্ট চলে গেলে টেলিটক সিমের নেটওয়ার্ক ও প্রায় চলে যায়, 4G থেকে 2G এর নিচে চলে যায় নেটওয়ার্ক, তখন ঠিকমতো কল ও যায় না, আর ইন্টারনেট তো দূরের কথা",Network Issue
Teletalk সিমের সবচেয়ে কম কলরেট লিষ্ট দিন।,Promotional
"মাই টেলিটক এপ আপডেট করে আরো কিছু ফিচার/অপশন চালু করা খুবই প্রয়োজন।যেমন,প্যাকেজ দেখা,এফএনএফ দেখা,কলরেট জানা এরকম আরো কিছু অপশন থাকাটা খুবই প্রয়োজন।",Internet Package Issue
"গ্রামীন সিম থেকে টেলিটক এ আসলাম,, এসে কি যে একটা বিপদে পড়েছি বলার ভাষা নেই,, ফোন দিয়েই মানুষ বকে,, কি ফোন ব্যবহার করি ফোন দিলে ফোন শুধু বন্ধ বলে,, এরপর ও একটা মজার ব্যাপার হচ্ছে কি জানেন,,গ্ৰামীন সিম যখন ব্যবহার করতাম মেসেজ এর যন্ত্রনাতে পাগল হয়ে যে… See more",Promotional
"Teletalk চেষ্টা কম করিনি দশ টাকা কেন দশ পয়সা ও দেওয়া হয় নাই ,, ফেক্সিলোড করবো সেখানেও সমস্যা পোহাতে হয়,,গ্ৰামীন থেকে টেলিটক এসেছি এজন্য সব দোকান থেকে রিচার্জ ও করা যায় না ,, আমি যে কত সমস্যাতে পড়েছি গ্ৰামীন‌ থেকে টেলিটক এ এসে বলার ভাষা নেই,, অনেক… See more",Promotional
গাওয়াইর কাঁচাবাজার সংলগ্ন দক্ষিনখান এলাকায় টেলিটক 4G Network পাওয়া যায় না। যদিওবা পাওয়া যায় কখনো একবার চলে গেলে H+ যদি হয় বা 3G হয় তা আর 4G হয় না।,Network Issue
এ কেমন প্রহসনের টেলিটক সার্ভিস?,Internet Issue
Teletalk গতরাত থেকে ইন্টারনেট নেই।,Network Issue
17 টাকা দিয়ে 2 GB যেন App থেকে নেওয়া যায় সেই ব্যাবস্থা করে দেন।,Promotional
সকল কাজ করার ক্ষেত্রে আগে নোটিস দিবেন প্লিজ,Promotional
কিভাবে যানবো আমার এলাকায় ৪জি কভারেজ আছে কি না,3g/4g Issue
আমার একটা সিমে ডাটা চালু করলে E লেখা ওঠে,Internet Package Issue
বাংলালিংক-এর নতুন সংযোগে দারুণ অফার,Internet Package Issue
18 টাকার বদলে 30 টাকা এ কেমন বিচার,Promotional
বাংলালিংক এ নেটওয়ার্ক জনিত সমস্যা পাচ্ছি প্রচুর।নেটওয়ার্ক একটু পরপরই ড্রপ করে।,Network Issue
বাংলালিংক সিমমে কি ভাবে এমবি দেখে কতো কতো?,Promotional
আমার সিমটি 3g একন 4gকরা যাবে আর যদি যায় তাহলে কি ভাবে করব,3g/4g Issue
নিজের নাম্বার কি ভাবে দেখবো?,Availability
আমার মোবাইল এবং সিম দুইটাই 4জি কিন্তু নেট পাই 3জি। 4জি নেট পাইনা কেন???,Network Issue
একটা বাংলালিংক সিম দিয়া ফোন দিলে শুধু বলে লোন পরিশোধ করতে কিন্তু কিভাবে করব জানাবেন,Promotional
বন্ধ সিমের ১পয়সা কল রেট চেক করব কীভাবে?,Promotional
"বন্ধ সিম চালু করে *১২১*২০০# ডায়াল করলেই, ফ্রি ফেইসবুক এবং সর্বনিন্ম কল রেট অফারের সাথে বাড়তি মেয়",Internet Package Issue
বাংলালিংক কত টাকার m b পাবো,Promotional
১GB / ৪ দিন @৩৬ টাকা (সকল ধরণের ট্যাক্সসহ),Promotional
৫৯/১৫৯ টাকায় ১পয়সা সেকেন্ডের মেয়াদটা বলুন,Promotional
নতুন সিম এর অফার গুলো জানতে চায়,Internet Package Issue
কম টাকায় বেশি জিবি চাই কিভাবে নিবো,Internet Package Issue
বাংলালিংক এর ইন্টারনেট নাইট প্যাক সম্বন্ধে কিছু বলুন।কিভাবে কিনতে হয় নাইট প্যাক..??,Network Issue
৮ এমবি কিনব কিনব কিবাবে,Promotional
আমি কীভাবে নিজের পছন্দের মতো নাম্বার কোথায় গেলে পাবো:,Availability
বিঃদ্র: পছন্দের মতন নাম্বার বানাতে চাই।,Availability
এস এম এস প্যাকেজের তালিকা গুলো দিলে খুব ভালো হতো,Internet Package Issue
মাই বাংলালিংক এ্যাপে লগ ইন করলে বোনাস mbটা কত বার পাওয়া যাবে?,Promotional
পাক কোর্ড এবং পিন কোর্ড ভূলে গেলে কি ভাবে পাব। এটা আমার নাম্বার 01915658236,Availability
কতদিন পযন্ত সিম বন্ধ থাকলে বন্ধ সিমের অফার পাওয়া যাবে,Internet Package Issue
Banglalink এর R.R একটা flexi sim 2000 টাকা চায় সিমের জন্য আমি ব্যবসা করতে পাতাছিনা,Promotional
"আমি নতুন bl সিম কিনেছি। এবং সাথে 1GB ইন্টারনেট ফ্রি পাইছি। সমস্যা টা হলো, এই নেট দিয়ে আমি সব সাইট ব্রাউজ করতে পারছি না। শুধু ফেসবুক আর ইমো তেই ব্রাউজ করা যাচ্ছে। কিন্তু এই নেট তো সব কিছু ব্রাউজ করার কথা। হচ্ছে না কেনো???",Network Issue
৭৬ টাকায় ১ জিবি এবং ৬ জিবি ফ্রি। অফার টা কি এখনো আছে? যদি থাকে তাহলে সেটা পাবো কিভাবে?,Internet Package Issue
বাংলালিংক নতুন সংযোগ কি কি অফার আছে বর্তমানে.?,Internet Package Issue
আচ্ছা আপনাদের মোবাইল অপারেটরে কাস্টমার কেয়ারে নতুন কোন কর্মী নিয়োগ করার বিজ্ঞাপ্তি দিয়েছে কিনা? আবেদন করার প্রক্রিয়াটি জানালে ভাল হয়।,Internet Package Issue
বন্ধ সিমের অফার আছে কোনো,Internet Package Issue
শুধু ইমুর জন্য ১মাস মেয়াদের কোন অফার আছে?,Internet Package Issue
"আমার একটা সিম হটাৎ বন্দ হয়ে গেছে আমি অফিসে ফোন করছি বলছে টাকা বরলে ঠিক হবে টাকা বরছি ঠিক হয় নায় নায় সিমের নেট আসে না, কি করতে পারি ামি",Network Issue
"নতুন সিম কিনলাম ১ মাস হলো,,,এতদিন কিনতাম ১৮ টাকায় ১ জিবি,,,আর আজ দেখা যাচ্ছে ৩০ টাকায় ১ জিবি,,,,ঐ অপারটি আবার কিভাবে আসবে??",Internet Package Issue
আমার একটা সিম হটাত বন্দ হয়ে গেছে আমি অফিসে ফোন করছি বলছে টাকা বরলে ঠিক হবে টাকা বরছি ঠিক হয় নায় নায় সিমের নেট আসে না একটু দেকবেন 01999954122,Network Issue
২৯৮ টাকা রিচার্জে ২৮ জিবি ২৮ দিন মেয়াদে ওফারটি আমি,Internet Package Issue
"১ সপ্তাহ ব্যবহার করছি,কিন্তুু এখন এমবি চেক করতে পারছি না কেন?",Promotional
নতুন সিমে এমবি আনব কত ডায়ালে?,Promotional
আপনি কি নতুন সিমের অফার সম্পর্কে জানতে চাচ্ছেন? … See more,Internet Package Issue
"সিম থেকে টাকা কেটে নিচ্ছে, বন্ধ করবো কিভাবে?",Promotional
"সাবাস বাংলালিংক--৩০টাকায় ২ জিবি মেয়াদ ৭ দিন--আমি প্রচুর পরিমানে খুশি,,,,",Internet Package Issue
আমার কাকার নামে আমার সিম টা রেজিষ্ট্রেশন করা চিল একন তিনি মারা গেছে আমি ক সিম টা আমার নামে রেজিষ্ট্রেশন করতে পাড়ব,Promotional
এক সিম থেকে অন্য সিমে মিনিট,Promotional
আপনি কি বাংলালিংক সহ যে কোন নাম্বার এ এসএমএস পাঠাতে চাচ্ছেন? … See more,Availability
Banglalink এর S.R একটা flexi sim 2000 টাকা চায় সিমের জন্য আমি ব্যবসা করতে পাতাছিনা,Promotional
"৩৬ টাকায় ১ জিবি, অফারটি ১২ টাকায় করেন পিলিজ,",Internet Package Issue
মিরপুর 1 এ আপনাদের কাস্টমার কেয়ার সার্ভিস কোথায় আছে জানাবেন আর এখন কি সিম রিপ্লেস করা যাবে কিনা,Call Center Issue
চট্টগ্রামে কোথায় গেলে সিম ডিএক্টিব করতে পারবো,Promotional
কোনো নির্দিষ্ট পরিমান রিচার্জ করলে কোনো গির্ফট আছে কি?,Promotional
আমার নাম্বার টি প্রিপেইড কি না তা কিভাবে বুঝবো?,Availability
আমার সিমে সব নেট অফার বন্ধ করা।এইটা আবার চালু করবো কিভাবে?,Network Issue
আমার অফার,Internet Package Issue
বাংলালিংক সিমের কি বায়োমেট্রিক রি-রেজিস্টেশন শুরু হয়েছে,Promotional
জীবনে অনেক গ্রুপে join করছেন। বন্ধু,Promotional
"মানুষের সেবার মাধ্যমে নিশ্চিত ভবিষ্যৎ গড়ার লক্ষ্যে আমার, যা বাংলাদেশের ৬৪ জেলায়। আলহামদুল্লিলা কাজ করে যাচ্ছি আপনাকেও আমন্ত্রণ!!!",Internet Package Issue
How to set thumbnail on youtube video by mobile / থাম্বনেইল সেট মোবাইল দিয়ে। Xtra Time,Promotional
জব অফার শুধুমাত্র আপিদের জন্য,Internet Package Issue
কোন এমবি খরচ ছাড়াই যেকোনো ফোন দিয়ে কাজটি করতে পারবেন,Promotional
ফ্রি ট্রেনিং এর মাধ্যমে কাজ শিখিয়ে দেওয়া হবে আর কাজ শিখতে পারবেন মাত্র 5 মিনিটে,Promotional
Gpay একাউন্ট টাকা রাখলে কি কোনো মেয়াদ আছে নাকি যে কোন সময় ব্যবহার করতে পারবো,Promotional
মান্থলি অফার প্যাক যেমন ৭৯৯ এর অবশিষ্ট এমবি বা মিনিট মেয়াদ শেষ হওয়ার আগে কিভাবে মেয়াদ বাড়ানো যায়।,Internet Package Issue
পোস্টপেড টু প্রিপেইড মাইগ্রেশন কি তাহলে আর করতে পারবো না??? অনেকদিন ধরে তো বন্ধ করে রাখছেন।,Promotional
01711 প্রিপেইড সীম নিতে চাই,Promotional
Grameenphone আমি কি শুধু বান্ডেল প্যাক কিনে একটি প্রিপেইড সীম নিতে পারবো না?,Promotional
"আমি গতকাল বাংলালিংক থেকে জিপিতে আসছি, এবং মাই জিপি থেকে রোমিং চালু করার অনেক চেস্টা করছি কিন্তু চালু হচ্ছে না, শুধু এসএমএম রোমিং চালু হচ্ছে, বেসিক রোমিং চালু করতে পারছিনা বারবার টাকা কেটে নিয়েছে এবং সাথে সাথে টাকা ফেরত দিয়ে দিচ্ছে কারন কি?",Promotional
"আপনারা সিস্টেম পরিবর্তন আনতেই পারেন তবে গ্রাহকদের জানানো প্রয়োজন মনে করতে হবে, আর সেইটা করেন নাই এবার এর মতো কিছু মনে করি নাই এর পর যেকোনো পরিবর্তন করলে আর আমার নাম্বারে এস এম এস এর মধ্যে না জানান তবে আমি বাধ্য হবো বিটিআরসি এবং কোর্ট যেতে..",Availability
"সিমের মালিকশী পরিবর্তন করলে কি, ওই সীমের বিকাশের কোনো সমস্যা হবে?",Availability
"Grameenphone আমার সিমে বিকাশ, আমি চাই সীমটা অন্য একজনকে দিতে। তার মানে সে ইচ্ছে করলে আমার বিকাশ ব্যবহার করতে পারবে।",Promotional
আপনাদের হেড অফিস এর ঠিকানা টা দিবেন।,Internet Package Issue
এই এমবি তো কোনো কাজের করছে না,Promotional
রেফার করে এই এমবি পেয়েছি,Promotional
স্কিটো সিমে হঠাৎ করে নো সার্ভিস আসছে কেন?,Promotional
কিটো সিম এর দাম কত,Promotional
তিন টা। প্যাক ফ্রী পাবো 1 টা কিনলে,Internet Package Issue
gp customer care এর নাম্বার কত?,Internet Package Issue
আমার সিম টা ইনএকটিভ দেখাচ্ছে। স্ক্যাচ কার্ডের মাধ্যমে রিচার্জ করতে বলতেছে। স্ক্যাচ কার্ডে না করে বিকাশ দিয়ে রিচার্জ করলে কি একটিভ হবে??,Promotional
কাস্টমার কেয়ারের কথা বলার নাম্বারটা দেন,Availability
"হঠাৎ করে আমার ২জিবি এমবি কেটে নিলো কেন,,,,,,,??",Internet Package Issue
হেল্পলাইন নাম্বারটা কী কেউ দিতে পারবেন?,Availability
মাই জিপি অ্যাপে ফিরে আসলে কোনো অফার আছে,Internet Package Issue
Grameenphone ০১৭.....১০০ এরকম কোনো নম্বর কীভাবে পেতে পারি একটু জানাবেন?,Availability
Grameenphone গোল্ডেন নাম্বার বলতে কোন নাম্বার গুলোকে বুঝায়?,Availability
Grameenphone জিপি পোস্টপেইড থেকে কি প্রিপেইডে মাইগ্রেশন করা যায়?,Availability
মাইজিপি অ্যাপে ফিরে আসলে কোনো অফার আছে?,Internet Package Issue
আপনারা বিভিন্ন ধরোনের অফারের sms গুলো দেন সেগুলো বাংলা ভাষায় আসে এগুলো কি ইংরেজি ভাষা করা যাবে?আমার প্রশ্নের উত্তর দিলে খুবই উপকার হতো!,Internet Package Issue
সিম ফোর-জি করতে কত টাকা লাগবে??,Promotional
"টেলিটক থেকে অপারেটর বদল করে গ্রামীণফোনে আসলে কি টেলিটকের ইন্টারনেট,কল রেট অফার ব্যবহার করা যাবে নাকি তখন গ্রামীণফোনের অফার পাবো?",Network Issue
Ott প্যাকেজ না হলেও 300 টাকায় 60 জিবি ইন্টারনেট হলে মনে মতো করে মুভি দেখা সম্ভব,Network Issue
"কিছুদিন যাবত একটি গ্রামীণ নম্বরে টাকা রিচার্জ করা হয়নি, আজকে ৫০ টাকা রিচার্জ করলাম, এরপরে একাউন্ট দেখার জন্য ডায়াল করলে এভাবে আসছে কারণ কি?",Promotional
Grameenphone লাইভ সেটে যাওয়ার জন্য ভেরিফিকেশন কোড লাগে কিন্তু আমার সিমে কোন কোড আসেনা।,Promotional
আমার সিমে এমবি আছে এখন যদি আমি ২৩ টাকায় আনলিমিটেড ২ ঘন্টা এইটা কিনি তাহলে কোনটা use হবে?,Promotional
৪০০ টাকা দিয়ে Postpaid করলে কি এই ৪০০ টাকা মূল ব্যালেন্স হিসাবে থাকবে নাকি চার্জ হিসেবে কেটে নিবে?,Promotional
গ্রামীণফোনের 01711 সিরিজের সিম কি পাওয়া যাবে এখন?,Promotional
জিপি সিম রিপ্লেস কত টাকা?,Call Center Issue
"নতুন করে mb ভরেছি তবুও Facebook e ব্যাসিক মোড চালু হয়ে থাকে,, mb use করতে পারতেছি না, আপনাদের mgs বলাম কোন খেয়ালই নাই,, খালি এই অফার সেই অফার বলে যাচ্ছে",Internet Package Issue
আপনাদের কাস্টমার কেয়ার কয়টা পর্যন্ত খোলা থাকে?,Internet Package Issue
"৫০০ sms ৩০ দিনের জন্য, দাম কতো?",Promotional
আমি সিলভার স্টার আমি কি গ্ৰামিন ফোন সব থেকে ফ্রি সিম রিপলেস করতে পারবো,Promotional
400 টাকার একটা প্রাইম ব্যান্ডেল চালু করুন। 249 টাকার পর একেবারে 599. মাঝখানে কিছু একটা দরকার।,Promotional
আমার গ্রামীন সিম ডিজুস প্রিপেইড প্যাকেজ ছিলো এখন পোস্টপেইড প্রাইম প্যাকেজ হয়েছে আমি ডিজুস প্রিপেইড ডিজুস প্যাকেজ করতে চাই কি করতে হবে,Promotional
আমি সিলভার স্টার আমি যদি গ্ৰামিন সেটার থেকে 250টাকা রিচার্জ করি তাহলে কি সিম রিপলেস ফ্রি পাব,Promotional
গ্রামীণফোন অফারের সিম নেওয়া ভালো না অফার ছাড়া সিম নেওয়া ভালো ?,Internet Package Issue
"Please help নতুন গ্রামীন সিম কিনেছি, এই সিমে ব্যালেন্স, এমবি, মিনিট, এসব সকল কিছু চেক করার ডায়াল কোড গুলো দিন",Promotional
আমাকে ৭০টাকায় ৬জিবি অফার দিয়েছেন। টাকা তুলেছি। অফার এখনো মাইজিপি তে শো করতিছে কিন্তু আসতিছে না কেন?,Internet Package Issue
"Grameenphone এমএনপি সার্ভিস চালু করার পর যদি সিমটি কোনো কারণে নষ্ট হয়ে যায় তাহলে ০১৫ এই সিরিজের নম্বর টি কী আবার গ্রামীণফোন সেন্টার থেকে রিপ্লেস করা যাবে , একটু জানাবেন।",Call Center Issue
গ্রামীণফোন প্রিপেইড সিমের মধ্যে কোনো ভাগ আছে কী যেমন কম দামী বেশি দামী ?,Promotional
আমার সিম বন্ধ সিমের অন্তর্ভুক্ত কিনা তা কেমনে চেক করব।,Promotional
গ্রামিন রিচার্জ ও মিনিট কার্ড পাইকারি কোথা থেকে সংগ্রহ করবো?,Promotional
আমার একটা সিম ০১৭১১ এর রেজিষ্ট্রেশন করা হয়নি তাই গ্রামীন ফোন বন্ধ করে দিয়েছে এখন এই সিমটি পুনরায় ব্যবহার করতে চাই কিভাবে সিমটি পেতে পারি জানালে উপকৃত হবো,Promotional
Grameenphone প্রি পেইড সিম আমি ১৫বছর ব্যবহার করেছি আর সিমটি ক্রয় করার সময় আমার ছবি দিয়ে আমার নামে সিমটি নিয়ে ছিলাম সিমটির প্রথম মালিক আমি আর এখনো সিমটি বন্ধ আছে,Promotional
এটা কি আর কেন টাকা কাটা হলো? এমন কোনো নাম্বারে এসএমএস দেওয়া হয়নি আমার ফোনে এর কোনো হিস্টোরি নাই।,Availability
আমার সিম টি 3G. এটিকে 4G করতে হলে কি কোন টাকা-পয়সা লাগবে?,3g/4g Issue
"আমি গ্রামীণের একজন গ্রাহক, আজকে একটা মেসেজ এসেছে ৬০০ টাকায় ৩৫ জিবি ৮০০ মিনিট, তাই আমি নিলাম কিন্তু আমাকে দেওয়া হলো ৩০ জিবি ৮০০ মিনিট",Internet Package Issue
বন্দ সিম ওপেন করে রিচার্জ করতে পারছি না কেন?,Promotional
এমবি না থাকলে ব্যালেন্সের টাকা না কাটার কোনো সিস্টেম আছে কি,Promotional
"ক্যাপটেন কাঁদলেন, কাঁদালেন সকল ক্রিকেট প্রেমিকদের!",Promotional
১মাস আগে নেটওয়ার্ক কম্প্লীন দিয়েছিলাম এখন তার কোনো খবর নাই। এটাই খুবই দুঃখজনক বিষয়?,Network Issue
16303 নাম্বার থেকে মেসেজ এসে টাকা কেটে নেই,Availability
Tamim Iqbal vai international cricket back করার খুশিতে Robi গ্রাহকদের ভালো একটা অফার দেওয়া উচিত। যেমন ২৮ টাকায় ২৮ জিবি ২৮ মিনিট ২৮ এস এম এস।,Internet Package Issue
সিম রেজিষ্ট্রেশন বাতিল করা সম্পর্কে সকল কিছু জানতে চাই!,Promotional
রবি নম্বর দিয়ে কোথাও কল যাচ্ছে না ৷ ১৯টাকা ব্যালান্স থাকা সত্ত্বেও !!!,Promotional
এয়ারপ্লেন মোড অন করেও কাজ হয় নি ৷ সিম খুলেও লাগানো হয়েছে ৷,Promotional
আপনাদের নেটওয়ার্ক ফিরে আসবে কবে তাই বলুন,Network Issue
"৪৮টাকায় আমার কোনো অফার নেই ,",Internet Package Issue
এখন ৪৮ টাকা রিচার্জ করলে টাকা মেইন একাউন্ট এ যুক্ত হবে কী ?,Promotional
Robi ৪৮ টাকায় রবিয়ের পক্ষ থেকে কোনো অফার আছে কী?,Internet Package Issue
নতুন সিমের অফার সম্পর্কে জানতে চাই?,Internet Package Issue
৬৮ টাকায় সাত জিবি কিন্তু দিলেন মাত্র ১৮০০ এমবি কেন ভাই।,Internet Package Issue
ভাই রবি সিমের নেট এতো দূর্বল কেন,Network Issue
Robi ওইটা করলে কি নেটওয়ার্ক সমস্যা ঠিক হয়ে যাবে,Network Issue
"রবি কোম্পানীর কর্তৃপক্ষের দৃষ্টি আকর্ষন করছি, আমি একজন রবি গ্রাহক, প্রত্যেক মাসের শেষের দিকে আমার সিমে যে ব্যালেন্স মিনিট থাকে তা সময় শেষ হওয়ার আগেই কেটে নিচ্ছেন। চলতি মাসের জুলাই মাসের ৮ তারিখে আমার মিনিট এর মেয়াদ শেষ হবে, কিন্তু রাত ১২ টা am হতেই মিন… See more",Promotional
২৯ টাকায় এমবি করার কোড দেন,Promotional
১০ জিবি ২২৫ মিনিট ২৭০//-,Internet Package Issue
১৫ জিবি ৩০০ মিনিট ৩৭০/-… See more,Internet Package Issue
সিম হারিয়ে গেছে সিমটি বন্ধ করব এখন কিভাবে,Promotional
"রবি অ্যাপে ৳৫০০-৩০জিবি+৬০০মিনিট-৩০দিন [রেগুলার ৬৪৮], ক্লিক cutt.ly/rco",Internet Package Issue
কিভাবে নিব ?আমি ৫০০টাকা রিচার্জ করে ফেলেছি এখন কি করা যায়?জানাবেন,Promotional
তামিমের ফিরে আসার খুশিতে একটা অফার দিতে পারতেন ২৮ টাকার যেকোন অফার।,Internet Package Issue
রবি সেবা অফিস কি শনিবারে খোলা থাকে?,Internet Package Issue
জি আমাদের রবি সেবা কেন্দ্র খোলা থাকবে।… See more,Internet Package Issue
Sim replacement কত টাকা করে,Promotional
ময়মনসিংহ হে আপনাদের কাস্টমার কেয়ার টা কোথায়,Internet Package Issue
আপনার সুবিধার্থে ময়মনসিংহ তে আমাদের রবি সেবা কেন্দ্রের ঠিকানা নিচে দেয়া হলঃ,Internet Package Issue
৮০ টাকা দিয়ে ৮ জিবি ১ মাস মেয়াদে। এই অফার টা আবার চাই।,Internet Package Issue
মাই রবি অ্যাপ থেকে আপনার নম্বরের সকল অ… See more,Availability
রবি সিমের মেলা শুরু হবে কবে?,Promotional
"আপনাকে জানিয়ে রাখছি আমাদের সিম এর মেলা হয়না, এবং মেলা থেকে সিম কেনায় বিরত থাকুন। আপনি রবি সেবা কেন্দ্র এবং রিটেইলার পয়েন্ট থেকে সিম কিনুন। … See more",Promotional
No service হয়ে রইছে সিম কি করা যায় এখন,Promotional
আমি কি একটি নতুন নম্বর নিতে পারব?,Availability
একটি সিম কার্ড কিনতে চাই কিভাবে কিনবো ?,Promotional
Robi আপনাদের এ্যাপ থেকে কিনলে ২৫০ টাকার সাথে কি আরও টাকা দিতে হবে ?,Promotional
"রবি নিয়ে এলো প্রথম ডিজিটাল প্ল্যাটফর্ম, যার মাধ্যমে আপনি খুব সহজেই অনলাইন এ নতুন সিম কিনতে পারবেন।ডিজিটাল প্ল্যাটফর্ম এর মাধ্যমে আপনি রবি প্রিপেইড সিম কিনতে পারবেন এবং এর মূল্য মাত্র ২৫০ টাকা। সাথে পাচ্ছেন;… See more",Promotional
কয়েক মাস আগে কেনা নতুন সিমে ২৩ টাকা রিচার্জে ৩ জিবি পেতাম। ইদের আগে বন্ধ হয়ে গিয়েছিল অফার টা। এখন কি আবার ২৩ টাকা রিচার্জ করলে আবার পাবো??,Internet Package Issue
২৩ টাকা ৩ জিবি অফারটি বর্তমানে বন্ধ আছে। আপনি অন্য সকল নতুন সিম অফার গ্রহণ করতে পারবেন । … See more,Internet Package Issue
আমার রবি সিমে ৫০tk রিচার্জের পর BING এর একটা অফার আসছে।সারা বছর ব্যাপি ২৬ জি.বি. ইন্টারনেট আসবে এবং সাথে সাথে ৪ জি.বি দিয়ে দিছে।কোনো টাকা কাটে নাই।এখন আমার প্রশ্ন হলো অন্য রবি সিমেও কি ৫০tk রিচার্জে এমন অফার আসবে??,Network Issue
"আপনাকে জানিয়ে রাখছি, আপনি হ্যান্ডসেট অফার পেয়েছেন। এই অফারটি সব সময় এর জন্য প্রযোজ্য নয়।… See more",Internet Package Issue
Robi network চাই,Network Issue
আমার রবি সিম হারিয়ে গেছে। ওটা বন্ধ করতে চাই। কিভাবে করব?,Promotional
তামিমের খুশিতে ৩০ জিবি ফ্রি দাও রবি,Internet Package Issue
"আমি আজ সন্ধ্যায় 01815321303 নাম্বারে 68 টাকার 2.5 জিবি রিচার্জ করছিলাম। কিন্তু দুঃখজনক সত্যটা হলো, আমি এই এমবি গুলা ব্যবহার করতে পারতেছি না। আমি এর সমাধান চাই; তাও এক্ষুনি।",Internet Package Issue
আর যে পরিমান টাকা কাটে বলার মত নাহ!,Promotional
নেটের কথা বাদ দিলাম টাকা পুরাইলে টাকাই থাকে না! … See more,Network Issue
মাই রবি অ্যাপ থেকে মাই অফার অপশনে ক্লিক করে জেনে নিতে পারবেন আপনার নম্বরের… See more,Internet Package Issue
সব থেকে কম টাকা কাটবে রবির কোন প্যাকেজ এর সিম এ?,Promotional
আর যে নাম্বারটি অর্ডার করেছি সেটা দেখব কিভাবে ?,Availability
ভাইজান শুধু ইমু চলবে কম রেটে এমন কোন ভালো অফার আছে নাকি দয়া করে যদি জানাতেন উপকৃত হতাম,Internet Package Issue
রবিতে এখন আপনি পাচ্ছেন বিভিন্ন মেয়াদের দারুন সব ইমো ডাটা প্যাক।… See more,Internet Package Issue
আমি দোকানদারকে জিজ্ঞাসা করলাম ৫০০ টাকার মধ্যে কত GB? উনি আমাকে বলল ৪৯৯ টাকায় ৬০ জিবি ৩০ দিন। পরে আমি পেকেজটা নিলাম। কিন্তু এখানে ১৫ দিন কেন আসলো? প্লিজ সমাধান করুন।,Internet Package Issue
রবি বন্ধ সিমের অফার ৩৭ টাকা ৩ জিবি ৩০ মিনিট।,Internet Package Issue
"কাইন্ডলি জানাবেন, আপনি এই রিলেটেড কোন এসএমএস পেয়েছিলেন কি না? পেয়ে থাকলে আমাদের সাথে স্ক্রীনশট শেয়ার করুন।… See more",Promotional
মাই রবি অ্যাপস থেকে এক জিবি ফ্রি কিভাবে নিব,Internet Package Issue
*১২১*এর ডায়াল করলে তো রেফারের কথা বলা হয় না বলা হয় ফ্রি ওয়ান জিবি for my রবি এখন বল তোরা এই ধরনের হয়রানি মূলক এড দিয়ে মানুষের বিভ্রান্ত করস কেন তোদের কাস্টমার কেয়ার নাম্বার দে সরাসরি কল করে কথা বলব,Internet Package Issue
"১২১ এ কল করে ১,২ অথবা ৩ প্রেস করুন এবং পরবর্তী নির্দেশনা অনুসরন করুন।… See more",Promotional
রবিতে এখন আপনি পাচ্ছেন বিভিন্ন মেয়াদের দারুন সব এসএমএস অফার।… See more,Internet Package Issue
আমি 17 টাকা রিচাজ করছি আমার ফোনে টাকা আসে নাই,Promotional
রবি যেমন দুর্দান্ত নেটওয়ার্ক।,Network Issue
এটা কোন রবি এত সস্তায় মোবাইল ফোন অফার দিচ্ছে,Internet Package Issue
